"tg","N","prob","w1","w2","w3"
"that should not",5,2.13990254883793e-06,"that","should","not"
"that some of",12,5.13576611721102e-06,"that","some","of"
"that some people",8,3.42384407814068e-06,"that","some","people"
"that sort of",10,4.27980509767585e-06,"that","sort","of"
"that sounds like",6,2.56788305860551e-06,"that","sounds","like"
"that such a",6,2.56788305860551e-06,"that","such","a"
"that takes place",5,2.13990254883793e-06,"that","takes","place"
"that thank you",5,2.13990254883793e-06,"that","thank","you"
"that the average",8,3.42384407814068e-06,"that","the","average"
"that the best",8,3.42384407814068e-06,"that","the","best"
"that the book",6,2.56788305860551e-06,"that","the","book"
"that the british",5,2.13990254883793e-06,"that","the","british"
"that the city",10,4.27980509767585e-06,"that","the","city"
"that the company",12,5.13576611721102e-06,"that","the","company"
"that the film",7,2.9958635683731e-06,"that","the","film"
"that the first",11,4.70778560744344e-06,"that","the","first"
"that the government",8,3.42384407814068e-06,"that","the","government"
"that the kings",5,2.13990254883793e-06,"that","the","kings"
"that the last",5,2.13990254883793e-06,"that","the","last"
"that the law",10,4.27980509767585e-06,"that","the","law"
"that the lord",8,3.42384407814068e-06,"that","the","lord"
"that the majority",5,2.13990254883793e-06,"that","the","majority"
"that the man",6,2.56788305860551e-06,"that","the","man"
"that the most",6,2.56788305860551e-06,"that","the","most"
"that the name",5,2.13990254883793e-06,"that","the","name"
"that the new",9,3.85182458790827e-06,"that","the","new"
"that the one",5,2.13990254883793e-06,"that","the","one"
"that the only",15,6.41970764651378e-06,"that","the","only"
"that the other",7,2.9958635683731e-06,"that","the","other"
"that the party",6,2.56788305860551e-06,"that","the","party"
"that the people",9,3.85182458790827e-06,"that","the","people"
"that the public",8,3.42384407814068e-06,"that","the","public"
"that the state",13,5.56374662697861e-06,"that","the","state"
"that the story",6,2.56788305860551e-06,"that","the","story"
"that the team",5,2.13990254883793e-06,"that","the","team"
"that the two",8,3.42384407814068e-06,"that","the","two"
"that the united",5,2.13990254883793e-06,"that","the","united"
"that the weather",5,2.13990254883793e-06,"that","the","weather"
"that the whole",8,3.42384407814068e-06,"that","the","whole"
"that the woman",5,2.13990254883793e-06,"that","the","woman"
"that the world",6,2.56788305860551e-06,"that","the","world"
"that there are",47,2.01150839590765e-05,"that","there","are"
"that there is",61,2.61068110958227e-05,"that","there","is"
"that there was",33,1.41233568223303e-05,"that","there","was"
"that there were",17,7.27566866604895e-06,"that","there","were"
"that there will",9,3.85182458790827e-06,"that","there","will"
"that there would",6,2.56788305860551e-06,"that","there","would"
"that theres a",5,2.13990254883793e-06,"that","theres","a"
"that these are",5,2.13990254883793e-06,"that","these","are"
"that they are",55,2.35389280372172e-05,"that","they","are"
"that they can",21,8.98759070511929e-06,"that","they","can"
"that they could",12,5.13576611721102e-06,"that","they","could"
"that they deserve",5,2.13990254883793e-06,"that","they","deserve"
"that they dont",7,2.9958635683731e-06,"that","they","dont"
"that they had",14,5.99172713674619e-06,"that","they","had"
"that they have",32,1.36953763125627e-05,"that","they","have"
"that they may",5,2.13990254883793e-06,"that","they","may"
"that they need",10,4.27980509767585e-06,"that","they","need"
"that they re",8,3.42384407814068e-06,"that","they","re"
"that they should",10,4.27980509767585e-06,"that","they","should"
"that they want",7,2.9958635683731e-06,"that","they","want"
"that they were",26,1.11274932539572e-05,"that","they","were"
"that they will",18,7.70364917581653e-06,"that","they","will"
"that they would",12,5.13576611721102e-06,"that","they","would"
"that this book",5,2.13990254883793e-06,"that","this","book"
"that this is",54,2.31109475274496e-05,"that","this","is"
"that this was",18,7.70364917581653e-06,"that","this","was"
"that this will",8,3.42384407814068e-06,"that","this","will"
"that those who",7,2.9958635683731e-06,"that","those","who"
"that time of",5,2.13990254883793e-06,"that","time","of"
"that to be",7,2.9958635683731e-06,"that","to","be"
"that to my",7,2.9958635683731e-06,"that","to","my"
"that too many",6,2.56788305860551e-06,"that","too","many"
"that turned out",5,2.13990254883793e-06,"that","turned","out"
"that type of",10,4.27980509767585e-06,"that","type","of"
"that used to",7,2.9958635683731e-06,"that","used","to"
"that was a",61,2.61068110958227e-05,"that","was","a"
"that was about",5,2.13990254883793e-06,"that","was","about"
"that was an",8,3.42384407814068e-06,"that","was","an"
"that was good",6,2.56788305860551e-06,"that","was","good"
"that was in",7,2.9958635683731e-06,"that","was","in"
"that was it",9,3.85182458790827e-06,"that","was","it"
"that was just",11,4.70778560744344e-06,"that","was","just"
"that was my",13,5.56374662697861e-06,"that","was","my"
"that was not",13,5.56374662697861e-06,"that","was","not"
"that was one",9,3.85182458790827e-06,"that","was","one"
"that was really",6,2.56788305860551e-06,"that","was","really"
"that was so",7,2.9958635683731e-06,"that","was","so"
"that was some",5,2.13990254883793e-06,"that","was","some"
"that was the",50,2.13990254883793e-05,"that","was","the"
"that was used",6,2.56788305860551e-06,"that","was","used"
"that was very",6,2.56788305860551e-06,"that","was","very"
"that was what",8,3.42384407814068e-06,"that","was","what"
"that way for",6,2.56788305860551e-06,"that","way","for"
"that way he",6,2.56788305860551e-06,"that","way","he"
"that way i",11,4.70778560744344e-06,"that","way","i"
"that way they",6,2.56788305860551e-06,"that","way","they"
"that way we",5,2.13990254883793e-06,"that","way","we"
"that we all",11,4.70778560744344e-06,"that","we","all"
"that we are",53,2.2682967017682e-05,"that","we","are"
"that we can",33,1.41233568223303e-05,"that","we","can"
"that we could",13,5.56374662697861e-06,"that","we","could"
"that we did",9,3.85182458790827e-06,"that","we","did"
"that we do",12,5.13576611721102e-06,"that","we","do"
"that we had",11,4.70778560744344e-06,"that","we","had"
"that we have",60,2.56788305860551e-05,"that","we","have"
"that we know",6,2.56788305860551e-06,"that","we","know"
"that we ll",5,2.13990254883793e-06,"that","we","ll"
"that we may",5,2.13990254883793e-06,"that","we","may"
"that we must",8,3.42384407814068e-06,"that","we","must"
"that we need",11,4.70778560744344e-06,"that","we","need"
"that we re",9,3.85182458790827e-06,"that","we","re"
"that we see",10,4.27980509767585e-06,"that","we","see"
"that we should",11,4.70778560744344e-06,"that","we","should"
"that we were",17,7.27566866604895e-06,"that","we","were"
"that we will",10,4.27980509767585e-06,"that","we","will"
"that we would",8,3.42384407814068e-06,"that","we","would"
"that were not",5,2.13990254883793e-06,"that","were","not"
"that what is",8,3.42384407814068e-06,"that","what","is"
"that when i",14,5.99172713674619e-06,"that","when","i"
"that when we",6,2.56788305860551e-06,"that","when","we"
"that when you",5,2.13990254883793e-06,"that","when","you"
"that while the",9,3.85182458790827e-06,"that","while","the"
"that will be",48,2.05430644688441e-05,"that","will","be"
"that will give",6,2.56788305860551e-06,"that","will","give"
"that will help",8,3.42384407814068e-06,"that","will","help"
"that will make",7,2.9958635683731e-06,"that","will","make"
"that will never",6,2.56788305860551e-06,"that","will","never"
"that will open",5,2.13990254883793e-06,"that","will","open"
"that will take",7,2.9958635683731e-06,"that","will","take"
"that with a",9,3.85182458790827e-06,"that","with","a"
"that with the",9,3.85182458790827e-06,"that","with","the"
"that would be",76,3.25265187423365e-05,"that","would","be"
"that would get",5,2.13990254883793e-06,"that","would","get"
"that would give",6,2.56788305860551e-06,"that","would","give"
"that would have",35,1.49793178418655e-05,"that","would","have"
"that would make",18,7.70364917581653e-06,"that","would","make"
"that would mean",5,2.13990254883793e-06,"that","would","mean"
"that would not",6,2.56788305860551e-06,"that","would","not"
"that year the",5,2.13990254883793e-06,"that","year","the"
"that you always",6,2.56788305860551e-06,"that","you","always"
"that you and",5,2.13990254883793e-06,"that","you","and"
"that you are",58,2.48228695665199e-05,"that","you","are"
"that you can",53,2.2682967017682e-05,"that","you","can"
"that you cant",16,6.84768815628136e-06,"that","you","cant"
"that you could",11,4.70778560744344e-06,"that","you","could"
"that you did",7,2.9958635683731e-06,"that","you","did"
"that you do",12,5.13576611721102e-06,"that","you","do"
"that you dont",10,4.27980509767585e-06,"that","you","dont"
"that you get",5,2.13990254883793e-06,"that","you","get"
"that you have",38,1.62632593711682e-05,"that","you","have"
"that you just",6,2.56788305860551e-06,"that","you","just"
"that you know",8,3.42384407814068e-06,"that","you","know"
"that you love",10,4.27980509767585e-06,"that","you","love"
"that you may",5,2.13990254883793e-06,"that","you","may"
"that you need",14,5.99172713674619e-06,"that","you","need"
"that you re",8,3.42384407814068e-06,"that","you","re"
"that you should",11,4.70778560744344e-06,"that","you","should"
"that you want",9,3.85182458790827e-06,"that","you","want"
"that you were",10,4.27980509767585e-06,"that","you","were"
"that you will",29,1.241143478326e-05,"that","you","will"
"that you would",6,2.56788305860551e-06,"that","you","would"
"thata good thing",5,2.13990254883793e-06,"thata","good","thing"
"thats a good",20,8.5596101953517e-06,"thats","a","good"
"thats a great",5,2.13990254883793e-06,"thats","a","great"
"thats a lot",10,4.27980509767585e-06,"thats","a","lot"
"thats about it",5,2.13990254883793e-06,"thats","about","it"
"thats all i",11,4.70778560744344e-06,"thats","all","i"
"thats all that",8,3.42384407814068e-06,"thats","all","that"
"thats all you",5,2.13990254883793e-06,"thats","all","you"
"thats because the",6,2.56788305860551e-06,"thats","because","the"
"thats exactly what",5,2.13990254883793e-06,"thats","exactly","what"
"thats for sure",16,6.84768815628136e-06,"thats","for","sure"
"thats going to",12,5.13576611721102e-06,"thats","going","to"
"thats how i",12,5.13576611721102e-06,"thats","how","i"
"thats how it",7,2.9958635683731e-06,"thats","how","it"
"thats how the",5,2.13990254883793e-06,"thats","how","the"
"thats how we",5,2.13990254883793e-06,"thats","how","we"
"thats how you",9,3.85182458790827e-06,"thats","how","you"
"thats just how",5,2.13990254883793e-06,"thats","just","how"
"thats just not",5,2.13990254883793e-06,"thats","just","not"
"thats just the",5,2.13990254883793e-06,"thats","just","the"
"thats kind of",9,3.85182458790827e-06,"thats","kind","of"
"thats more than",6,2.56788305860551e-06,"thats","more","than"
"thats not a",7,2.9958635683731e-06,"thats","not","a"
"thats not how",7,2.9958635683731e-06,"thats","not","how"
"thats not the",12,5.13576611721102e-06,"thats","not","the"
"thats not what",6,2.56788305860551e-06,"thats","not","what"
"thats one of",10,4.27980509767585e-06,"thats","one","of"
"thats part of",5,2.13990254883793e-06,"thats","part","of"
"thats the best",7,2.9958635683731e-06,"thats","the","best"
"thats the case",6,2.56788305860551e-06,"thats","the","case"
"thats the only",6,2.56788305860551e-06,"thats","the","only"
"thats the same",7,2.9958635683731e-06,"thats","the","same"
"thats the way",11,4.70778560744344e-06,"thats","the","way"
"thats what happened",6,2.56788305860551e-06,"thats","what","happened"
"thats what i",35,1.49793178418655e-05,"thats","what","i"
"thats what im",6,2.56788305860551e-06,"thats","what","im"
"thats what its",5,2.13990254883793e-06,"thats","what","its"
"thats what we",12,5.13576611721102e-06,"thats","what","we"
"thats what you",13,5.56374662697861e-06,"thats","what","you"
"thats whats up",8,3.42384407814068e-06,"thats","whats","up"
"thats when i",8,3.42384407814068e-06,"thats","when","i"
"thats where i",7,2.9958635683731e-06,"thats","where","i"
"thats why i",17,7.27566866604895e-06,"thats","why","i"
"thats why im",8,3.42384407814068e-06,"thats","why","im"
"thats why its",5,2.13990254883793e-06,"thats","why","its"
"thats why we",6,2.56788305860551e-06,"thats","why","we"
"the ability to",53,2.2682967017682e-05,"the","ability","to"
"the absence of",13,5.56374662697861e-06,"the","absence","of"
"the absolute best",7,2.9958635683731e-06,"the","absolute","best"
"the act of",8,3.42384407814068e-06,"the","act","of"
"the actions of",5,2.13990254883793e-06,"the","actions","of"
"the addition of",17,7.27566866604895e-06,"the","addition","of"
"the advantage of",5,2.13990254883793e-06,"the","advantage","of"
"the advent of",5,2.13990254883793e-06,"the","advent","of"
"the adventures of",8,3.42384407814068e-06,"the","adventures","of"
"the advice of",7,2.9958635683731e-06,"the","advice","of"
"the after party",5,2.13990254883793e-06,"the","after","party"
"the aftermath of",6,2.56788305860551e-06,"the","aftermath","of"
"the afternoon i",5,2.13990254883793e-06,"the","afternoon","i"
"the afternoon of",5,2.13990254883793e-06,"the","afternoon","of"
"the age of",39,1.66912398809358e-05,"the","age","of"
"the agency said",6,2.56788305860551e-06,"the","agency","said"
"the agency to",7,2.9958635683731e-06,"the","agency","to"
"the agenda for",5,2.13990254883793e-06,"the","agenda","for"
"the aid of",8,3.42384407814068e-06,"the","aid","of"
"the aim of",5,2.13990254883793e-06,"the","aim","of"
"the air and",6,2.56788305860551e-06,"the","air","and"
"the air as",6,2.56788305860551e-06,"the","air","as"
"the air force",7,2.9958635683731e-06,"the","air","force"
"the air the",5,2.13990254883793e-06,"the","air","the"
"the airport is",5,2.13990254883793e-06,"the","airport","is"
"the album is",5,2.13990254883793e-06,"the","album","is"
"the album was",5,2.13990254883793e-06,"the","album","was"
"the all important",5,2.13990254883793e-06,"the","all","important"
"the all star",14,5.99172713674619e-06,"the","all","star"
"the amazon services",8,3.42384407814068e-06,"the","amazon","services"
"the american people",13,5.56374662697861e-06,"the","american","people"
"the american public",7,2.9958635683731e-06,"the","american","public"
"the amount of",60,2.56788305860551e-05,"the","amount","of"
"the anniversary of",7,2.9958635683731e-06,"the","anniversary","of"
"the answer is",23,9.84355172465446e-06,"the","answer","is"
"the answer to",19,8.13162968558412e-06,"the","answer","to"
"the answers to",7,2.9958635683731e-06,"the","answers","to"
"the appearance of",8,3.42384407814068e-06,"the","appearance","of"
"the apple store",7,2.9958635683731e-06,"the","apple","store"
"the application of",6,2.56788305860551e-06,"the","application","of"
"the area and",7,2.9958635683731e-06,"the","area","and"
"the area in",5,2.13990254883793e-06,"the","area","in"
"the area is",6,2.56788305860551e-06,"the","area","is"
"the area of",11,4.70778560744344e-06,"the","area","of"
"the area where",7,2.9958635683731e-06,"the","area","where"
"the areas of",5,2.13990254883793e-06,"the","areas","of"
"the argument that",7,2.9958635683731e-06,"the","argument","that"
"the arizona law",5,2.13990254883793e-06,"the","arizona","law"
"the army and",5,2.13990254883793e-06,"the","army","and"
"the aroma is",7,2.9958635683731e-06,"the","aroma","is"
"the arrival of",9,3.85182458790827e-06,"the","arrival","of"
"the art of",24,1.0271532234422e-05,"the","art","of"
"the artist and",6,2.56788305860551e-06,"the","artist","and"
"the associated press",41,1.7547200900471e-05,"the","associated","press"
"the assumption that",6,2.56788305860551e-06,"the","assumption","that"
"the atlanta journal",6,2.56788305860551e-06,"the","atlanta","journal"
"the attention of",15,6.41970764651378e-06,"the","attention","of"
"the attitude of",5,2.13990254883793e-06,"the","attitude","of"
"the attorney general",8,3.42384407814068e-06,"the","attorney","general"
"the attorney generals",6,2.56788305860551e-06,"the","attorney","generals"
"the audience and",5,2.13990254883793e-06,"the","audience","and"
"the author of",21,8.98759070511929e-06,"the","author","of"
"the authority to",7,2.9958635683731e-06,"the","authority","to"
"the auto industry",9,3.85182458790827e-06,"the","auto","industry"
"the average person",5,2.13990254883793e-06,"the","average","person"
"the award for",5,2.13990254883793e-06,"the","award","for"
"the award winning",5,2.13990254883793e-06,"the","award","winning"
"the awkward moment",5,2.13990254883793e-06,"the","awkward","moment"
"the back and",11,4.70778560744344e-06,"the","back","and"
"the back door",10,4.27980509767585e-06,"the","back","door"
"the back of",67,2.86746941544282e-05,"the","back","of"
"the back seat",5,2.13990254883793e-06,"the","back","seat"
"the bad and",5,2.13990254883793e-06,"the","bad","and"
"the bad guys",5,2.13990254883793e-06,"the","bad","guys"
"the bad news",7,2.9958635683731e-06,"the","bad","news"
"the balance of",7,2.9958635683731e-06,"the","balance","of"
"the ball and",12,5.13576611721102e-06,"the","ball","and"
"the ball in",9,3.85182458790827e-06,"the","ball","in"
"the ball to",9,3.85182458790827e-06,"the","ball","to"
"the ballot in",6,2.56788305860551e-06,"the","ballot","in"
"the band and",5,2.13990254883793e-06,"the","band","and"
"the band was",5,2.13990254883793e-06,"the","band","was"
"the bank and",6,2.56788305860551e-06,"the","bank","and"
"the base of",11,4.70778560744344e-06,"the","base","of"
"the basement of",6,2.56788305860551e-06,"the","basement","of"
"the basis for",5,2.13990254883793e-06,"the","basis","for"
"the basis of",12,5.13576611721102e-06,"the","basis","of"
"the bathroom and",6,2.56788305860551e-06,"the","bathroom","and"
"the battle of",12,5.13576611721102e-06,"the","battle","of"
"the bay area",23,9.84355172465446e-06,"the","bay","area"
"the beach and",7,2.9958635683731e-06,"the","beach","and"
"the beach boys",5,2.13990254883793e-06,"the","beach","boys"
"the beach in",5,2.13990254883793e-06,"the","beach","in"
"the beach with",5,2.13990254883793e-06,"the","beach","with"
"the beastie boys",7,2.9958635683731e-06,"the","beastie","boys"
"the beauty and",5,2.13990254883793e-06,"the","beauty","and"
"the beauty of",19,8.13162968558412e-06,"the","beauty","of"
"the bed and",6,2.56788305860551e-06,"the","bed","and"
"the beer is",8,3.42384407814068e-06,"the","beer","is"
"the beginning i",5,2.13990254883793e-06,"the","beginning","i"
"the beginning of",62,2.65347916055903e-05,"the","beginning","of"
"the behavior of",5,2.13990254883793e-06,"the","behavior","of"
"the bench and",5,2.13990254883793e-06,"the","bench","and"
"the benefit of",17,7.27566866604895e-06,"the","benefit","of"
"the benefits of",10,4.27980509767585e-06,"the","benefits","of"
"the best and",19,8.13162968558412e-06,"the","best","and"
"the best day",12,5.13576611721102e-06,"the","best","day"
"the best for",12,5.13576611721102e-06,"the","best","for"
"the best i",15,6.41970764651378e-06,"the","best","i"
"the best in",23,9.84355172465446e-06,"the","best","in"
"the best kind",5,2.13990254883793e-06,"the","best","kind"
"the best of",55,2.35389280372172e-05,"the","best","of"
"the best one",6,2.56788305860551e-06,"the","best","one"
"the best part",31,1.32673958027951e-05,"the","best","part"
"the best place",7,2.9958635683731e-06,"the","best","place"
"the best player",7,2.9958635683731e-06,"the","best","player"
"the best possible",8,3.42384407814068e-06,"the","best","possible"
"the best sandwich",5,2.13990254883793e-06,"the","best","sandwich"
"the best the",6,2.56788305860551e-06,"the","best","the"
"the best thing",32,1.36953763125627e-05,"the","best","thing"
"the best things",8,3.42384407814068e-06,"the","best","things"
"the best time",13,5.56374662697861e-06,"the","best","time"
"the best to",5,2.13990254883793e-06,"the","best","to"
"the best way",36,1.54072983516331e-05,"the","best","way"
"the best you",5,2.13990254883793e-06,"the","best","you"
"the better of",7,2.9958635683731e-06,"the","better","of"
"the bible is",6,2.56788305860551e-06,"the","bible","is"
"the big east",10,4.27980509767585e-06,"the","big","east"
"the big leagues",7,2.9958635683731e-06,"the","big","leagues"
"the big picture",7,2.9958635683731e-06,"the","big","picture"
"the big screen",7,2.9958635683731e-06,"the","big","screen"
"the big ten",10,4.27980509767585e-06,"the","big","ten"
"the bill is",6,2.56788305860551e-06,"the","bill","is"
"the bill passed",5,2.13990254883793e-06,"the","bill","passed"
"the birds are",6,2.56788305860551e-06,"the","birds","are"
"the birth of",14,5.99172713674619e-06,"the","birth","of"
"the black and",5,2.13990254883793e-06,"the","black","and"
"the black keys",5,2.13990254883793e-06,"the","black","keys"
"the blazers and",5,2.13990254883793e-06,"the","blazers","and"
"the blazers are",6,2.56788305860551e-06,"the","blazers","are"
"the blazers have",7,2.9958635683731e-06,"the","blazers","have"
"the block of",51,2.18270059981468e-05,"the","block","of"
"the blog is",6,2.56788305860551e-06,"the","blog","is"
"the board is",12,5.13576611721102e-06,"the","board","is"
"the board of",36,1.54072983516331e-05,"the","board","of"
"the body and",6,2.56788305860551e-06,"the","body","and"
"the body of",16,6.84768815628136e-06,"the","body","of"
"the book and",8,3.42384407814068e-06,"the","book","and"
"the book but",6,2.56788305860551e-06,"the","book","but"
"the book i",7,2.9958635683731e-06,"the","book","i"
"the book is",23,9.84355172465446e-06,"the","book","is"
"the book of",13,5.56374662697861e-06,"the","book","of"
"the book they",5,2.13990254883793e-06,"the","book","they"
"the book will",6,2.56788305860551e-06,"the","book","will"
"the books in",8,3.42384407814068e-06,"the","books","in"
"the bottom and",5,2.13990254883793e-06,"the","bottom","and"
"the bottom line",15,6.41970764651378e-06,"the","bottom","line"
"the bottom of",57,2.43948890567524e-05,"the","bottom","of"
"the boundaries of",5,2.13990254883793e-06,"the","boundaries","of"
"the bowl and",5,2.13990254883793e-06,"the","bowl","and"
"the box office",10,4.27980509767585e-06,"the","box","office"
"the boy and",5,2.13990254883793e-06,"the","boy","and"
"the boy was",5,2.13990254883793e-06,"the","boy","was"
"the boys and",10,4.27980509767585e-06,"the","boys","and"
"the boys were",5,2.13990254883793e-06,"the","boys","were"
"the brain is",5,2.13990254883793e-06,"the","brain","is"
"the brains of",6,2.56788305860551e-06,"the","brains","of"
"the bride and",6,2.56788305860551e-06,"the","bride","and"
"the bright side",5,2.13990254883793e-06,"the","bright","side"
"the brink of",5,2.13990254883793e-06,"the","brink","of"
"the budget for",6,2.56788305860551e-06,"the","budget","for"
"the building and",5,2.13990254883793e-06,"the","building","and"
"the bulk of",17,7.27566866604895e-06,"the","bulk","of"
"the burden of",10,4.27980509767585e-06,"the","burden","of"
"the burden on",6,2.56788305860551e-06,"the","burden","on"
"the bus and",5,2.13990254883793e-06,"the","bus","and"
"the bus driver",5,2.13990254883793e-06,"the","bus","driver"
"the bus is",6,2.56788305860551e-06,"the","bus","is"
"the business of",13,5.56374662697861e-06,"the","business","of"
"the call to",6,2.56788305860551e-06,"the","call","to"
"the camera and",5,2.13990254883793e-06,"the","camera","and"
"the car and",18,7.70364917581653e-06,"the","car","and"
"the car at",6,2.56788305860551e-06,"the","car","at"
"the car but",5,2.13990254883793e-06,"the","car","but"
"the car on",6,2.56788305860551e-06,"the","car","on"
"the car park",7,2.9958635683731e-06,"the","car","park"
"the car to",7,2.9958635683731e-06,"the","car","to"
"the care of",6,2.56788305860551e-06,"the","care","of"
"the case but",6,2.56788305860551e-06,"the","case","but"
"the case for",13,5.56374662697861e-06,"the","case","for"
"the case in",5,2.13990254883793e-06,"the","case","in"
"the case is",6,2.56788305860551e-06,"the","case","is"
"the case of",20,8.5596101953517e-06,"the","case","of"
"the case then",5,2.13990254883793e-06,"the","case","then"
"the case to",5,2.13990254883793e-06,"the","case","to"
"the case was",6,2.56788305860551e-06,"the","case","was"
"the case with",9,3.85182458790827e-06,"the","case","with"
"the cast of",8,3.42384407814068e-06,"the","cast","of"
"the catholic church",14,5.99172713674619e-06,"the","catholic","church"
"the cause of",15,6.41970764651378e-06,"the","cause","of"
"the cell phone",5,2.13990254883793e-06,"the","cell","phone"
"the center for",8,3.42384407814068e-06,"the","center","for"
"the center of",31,1.32673958027951e-05,"the","center","of"
"the centers for",5,2.13990254883793e-06,"the","centers","for"
"the central government",5,2.13990254883793e-06,"the","central","government"
"the centre of",14,5.99172713674619e-06,"the","centre","of"
"the chairman of",11,4.70778560744344e-06,"the","chairman","of"
"the challenge is",5,2.13990254883793e-06,"the","challenge","is"
"the challenge of",8,3.42384407814068e-06,"the","challenge","of"
"the chance i",5,2.13990254883793e-06,"the","chance","i"
"the chance of",6,2.56788305860551e-06,"the","chance","of"
"the chance to",48,2.05430644688441e-05,"the","chance","to"
"the chances of",9,3.85182458790827e-06,"the","chances","of"
"the changes in",6,2.56788305860551e-06,"the","changes","in"
"the character of",13,5.56374662697861e-06,"the","character","of"
"the characters and",7,2.9958635683731e-06,"the","characters","and"
"the chicago area",5,2.13990254883793e-06,"the","chicago","area"
"the child is",5,2.13990254883793e-06,"the","child","is"
"the children and",5,2.13990254883793e-06,"the","children","and"
"the children of",16,6.84768815628136e-06,"the","children","of"
"the children who",8,3.42384407814068e-06,"the","children","who"
"the choice of",9,3.85182458790827e-06,"the","choice","of"
"the church and",5,2.13990254883793e-06,"the","church","and"
"the church has",5,2.13990254883793e-06,"the","church","has"
"the church is",5,2.13990254883793e-06,"the","church","is"
"the church of",10,4.27980509767585e-06,"the","church","of"
"the city and",20,8.5596101953517e-06,"the","city","and"
"the city as",7,2.9958635683731e-06,"the","city","as"
"the city council",16,6.84768815628136e-06,"the","city","council"
"the city for",5,2.13990254883793e-06,"the","city","for"
"the city has",11,4.70778560744344e-06,"the","city","has"
"the city i",7,2.9958635683731e-06,"the","city","i"
"the city in",9,3.85182458790827e-06,"the","city","in"
"the city is",17,7.27566866604895e-06,"the","city","is"
"the city of",46,1.96871034493089e-05,"the","city","of"
"the city the",10,4.27980509767585e-06,"the","city","the"
"the city to",12,5.13576611721102e-06,"the","city","to"
"the city will",7,2.9958635683731e-06,"the","city","will"
"the city with",6,2.56788305860551e-06,"the","city","with"
"the city would",7,2.9958635683731e-06,"the","city","would"
"the civil rights",11,4.70778560744344e-06,"the","civil","rights"
"the civil war",12,5.13576611721102e-06,"the","civil","war"
"the class of",7,2.9958635683731e-06,"the","class","of"
"the cleveland area",5,2.13990254883793e-06,"the","cleveland","area"
"the cleveland clinic",7,2.9958635683731e-06,"the","cleveland","clinic"
"the coaching staff",6,2.56788305860551e-06,"the","coaching","staff"
"the collapse of",7,2.9958635683731e-06,"the","collapse","of"
"the collection of",6,2.56788305860551e-06,"the","collection","of"
"the college of",6,2.56788305860551e-06,"the","college","of"
"the color is",8,3.42384407814068e-06,"the","color","is"
"the color of",8,3.42384407814068e-06,"the","color","of"
"the colors are",7,2.9958635683731e-06,"the","colors","are"
"the combination of",10,4.27980509767585e-06,"the","combination","of"
"the comic book",5,2.13990254883793e-06,"the","comic","book"
"the coming months",9,3.85182458790827e-06,"the","coming","months"
"the coming weeks",9,3.85182458790827e-06,"the","coming","weeks"
"the comments section",5,2.13990254883793e-06,"the","comments","section"
"the community to",6,2.56788305860551e-06,"the","community","to"
"the company also",8,3.42384407814068e-06,"the","company","also"
"the company and",10,4.27980509767585e-06,"the","company","and"
"the company had",5,2.13990254883793e-06,"the","company","had"
"the company has",15,6.41970764651378e-06,"the","company","has"
"the company is",17,7.27566866604895e-06,"the","company","is"
"the company of",8,3.42384407814068e-06,"the","company","of"
"the company said",20,8.5596101953517e-06,"the","company","said"
"the company says",5,2.13990254883793e-06,"the","company","says"
"the company that",7,2.9958635683731e-06,"the","company","that"
"the company was",8,3.42384407814068e-06,"the","company","was"
"the concept of",26,1.11274932539572e-05,"the","concept","of"
"the conclusion of",6,2.56788305860551e-06,"the","conclusion","of"
"the conclusion that",7,2.9958635683731e-06,"the","conclusion","that"
"the confidence to",7,2.9958635683731e-06,"the","confidence","to"
"the connection between",6,2.56788305860551e-06,"the","connection","between"
"the consequences of",10,4.27980509767585e-06,"the","consequences","of"
"the contents of",10,4.27980509767585e-06,"the","contents","of"
"the context of",20,8.5596101953517e-06,"the","context","of"
"the convention center",6,2.56788305860551e-06,"the","convention","center"
"the core of",15,6.41970764651378e-06,"the","core","of"
"the corner and",8,3.42384407814068e-06,"the","corner","and"
"the corner from",7,2.9958635683731e-06,"the","corner","from"
"the corner of",17,7.27566866604895e-06,"the","corner","of"
"the corners of",5,2.13990254883793e-06,"the","corners","of"
"the cost of",54,2.31109475274496e-05,"the","cost","of"
"the costs of",10,4.27980509767585e-06,"the","costs","of"
"the country and",13,5.56374662697861e-06,"the","country","and"
"the country but",7,2.9958635683731e-06,"the","country","but"
"the country i",6,2.56788305860551e-06,"the","country","i"
"the country is",9,3.85182458790827e-06,"the","country","is"
"the country it",5,2.13990254883793e-06,"the","country","it"
"the country the",10,4.27980509767585e-06,"the","country","the"
"the county and",5,2.13990254883793e-06,"the","county","and"
"the county is",5,2.13990254883793e-06,"the","county","is"
"the courage to",10,4.27980509767585e-06,"the","courage","to"
"the course of",35,1.49793178418655e-05,"the","course","of"
"the court for",5,2.13990254883793e-06,"the","court","for"
"the court is",5,2.13990254883793e-06,"the","court","is"
"the cover of",19,8.13162968558412e-06,"the","cover","of"
"the crack of",5,2.13990254883793e-06,"the","crack","of"
"the craft of",6,2.56788305860551e-06,"the","craft","of"
"the creation of",16,6.84768815628136e-06,"the","creation","of"
"the credit for",6,2.56788305860551e-06,"the","credit","for"
"the criminal justice",5,2.13990254883793e-06,"the","criminal","justice"
"the culture of",7,2.9958635683731e-06,"the","culture","of"
"the curse of",5,2.13990254883793e-06,"the","curse","of"
